hand_category,hand,tries,win,draw
18,2,1000,34.5,9.2
18,3,1000,34.599999999999994,11.600000000000001
19,1,1000,45.800000000000004,10.299999999999999
19,2,1000,45.0,10.100000000000001
20,1,1000,54.400000000000006,33.4
20,2,1000,55.60000000000001,31.0
21,1,1000,90.3,9.700000000000001
12,1,1000,22.5,0.0
12,2,1000,18.4,0.0
12,3,1000,21.9,0.0
12,4,1000,22.0,0.0
12,5,1000,19.5,0.0
12,6,1000,19.8,0.0
13,1,1000,20.599999999999998,0.0
13,2,1000,20.599999999999998,0.0
13,3,1000,20.5,0.0
13,4,1000,22.900000000000002,0.0
13,5,1000,21.8,0.0
14,1,1000,21.7,0.0
14,2,1000,21.7,0.0
14,3,1000,20.1,0.0
14,4,1000,20.9,0.0
14,5,1000,21.099999999999998,0.0
15,1,1000,22.7,0.0
15,2,1000,21.0,0.0
15,3,1000,21.6,0.0
15,4,1000,24.8,0.0
16,1,1000,21.4,0.0
16,2,1000,20.1,0.0
16,3,1000,19.7,0.0
16,4,1000,21.0,0.0
17,1,1000,20.200000000000003,12.2
17,2,1000,19.2,9.8
17,3,1000,22.3,13.100000000000001
18,1,1000,34.0,10.6
18,2,1000,34.2,10.8
18,3,1000,35.099999999999994,11.700000000000001
19,1,1000,44.9,11.899999999999999
19,2,1000,48.0,10.6
20,1,1000,55.60000000000001,33.1
20,2,1000,56.2,29.7
21,1,1000,90.8,9.2
12,1,1000,23.0,0.0
12,2,1000,20.0,0.0
12,3,1000,22.5,0.0
12,4,1000,22.1,0.0
12,5,1000,20.7,0.0
12,6,1000,20.9,0.0
13,1,1000,20.8,0.0
13,2,1000,17.8,0.0
13,3,1000,23.0,0.0
13,4,1000,20.0,0.0
13,5,1000,20.4,0.0
14,1,1000,20.4,0.0
14,2,1000,21.3,0.0
14,3,1000,21.5,0.0
14,4,1000,21.099999999999998,0.0
14,5,1000,22.2,0.0
15,1,1000,21.2,0.0
15,2,1000,19.400000000000002,0.0
15,3,1000,20.4,0.0
15,4,1000,23.0,0.0
16,1,1000,21.5,0.0
16,2,1000,20.9,0.0
16,3,1000,22.2,0.0
16,4,1000,23.400000000000002,0.0
17,1,1000,23.5,10.8
17,2,1000,21.7,10.6
17,3,1000,22.2,11.4
18,1,1000,30.9,11.1
18,2,1000,35.099999999999994,9.5
18,3,1000,35.099999999999994,12.0
19,1,1000,45.0,14.399999999999999
19,2,1000,45.5,11.3
20,1,1000,57.49999999999999,33.300000000000004
20,2,1000,55.800000000000004,31.900000000000002
21,1,1000,90.60000000000001,9.4
12,1,1000,22.6,0.0
12,2,1000,20.8,0.0
12,3,1000,21.8,0.0
12,4,1000,18.6,0.0
12,5,1000,21.8,0.0
12,6,1000,20.4,0.0
13,1,1000,19.3,0.0
13,2,1000,21.099999999999998,0.0
13,3,1000,19.400000000000002,0.0
13,4,1000,22.1,0.0
13,5,1000,21.3,0.0
14,1,1000,21.9,0.0
14,2,1000,22.900000000000002,0.0
14,3,1000,20.8,0.0
14,4,1000,21.099999999999998,0.0
14,5,1000,22.6,0.0
15,1,1000,21.5,0.0
15,2,1000,21.9,0.0
15,3,1000,20.7,0.0
15,4,1000,21.6,0.0
16,1,1000,22.900000000000002,0.0
16,2,1000,20.9,0.0
16,3,1000,20.8,0.0
16,4,1000,22.3,0.0
17,1,1000,19.3,11.700000000000001
17,2,1000,22.2,11.5
17,3,1000,19.400000000000002,12.9
18,1,1000,31.8,11.4
18,2,1000,32.7,9.0
18,3,1000,36.7,12.5
19,1,1000,41.099999999999994,11.4
19,2,1000,44.5,10.2
20,1,1000,55.400000000000006,35.6
20,2,1000,59.3,28.799999999999997
21,1,1000,91.0,9.0
12,1,1000,22.3,0.0
12,2,1000,20.4,0.0
12,3,1000,19.400000000000002,0.0
12,4,1000,21.2,0.0
12,5,1000,21.9,0.0
12,6,1000,21.3,0.0
13,1,1000,19.6,0.0
13,2,1000,18.3,0.0
13,3,1000,21.9,0.0
13,4,1000,21.099999999999998,0.0
13,5,1000,21.2,0.0
14,1,1000,21.5,0.0
14,2,1000,21.6,0.0
14,3,1000,20.599999999999998,0.0
14,4,1000,21.0,0.0
14,5,1000,21.9,0.0
15,1,1000,20.8,0.0
15,2,1000,20.599999999999998,0.0
